ac_number,ac_name,part_number,station_name,file_name
04,GYALSHING BARNYAK,13,"GOVT. PRY. SCHOOL, PECHEREK",sikkim_pdfs/04_013.pdf
04,GYALSHING BARNYAK,14,"COMMUNITY HALL, GYALSHING ROOM NO.I",sikkim_pdfs/04_014.pdf
04,GYALSHING BARNYAK,15,"COMMUNITY HALL, GYALSHING ROOM NO III",sikkim_pdfs/04_015.pdf
05,RINCHENBONG (BL),1,"GOVT. JR. HIGH SCHOOL, SAMDONG",sikkim_pdfs/05_001.pdf
05,RINCHENBONG (BL),2,"GOVT. SR. SEC. SCHOOL, SRIBADAM",sikkim_pdfs/05_002.pdf
05,RINCHENBONG (BL),3,"GOVT. JR. HIGH SCHOOL, DEYTHANG",sikkim_pdfs/05_003.pdf
05,RINCHENBONG (BL),4,"GOVT. JR. HIGH SCHOOL, JUSHINGTHANG",sikkim_pdfs/05_004.pdf
05,RINCHENBONG (BL),5,"GOVT. SR SEC. SCHOOL, MANGALBARIA R. NO. I",sikkim_pdfs/05_005.pdf
05,RINCHENBONG (BL),6,"GOVT. SR SEC. SCHOOL, MANGALBARIA R.NO. II",sikkim_pdfs/05_006.pdf
05,RINCHENBONG (BL),7,"SARDAR RAN BDR. GURUNG GOVT. SR. SEC. SCHOOL, KALUK ROOM NO. I",sikkim_pdfs/05_007.pdf
05,RINCHENBONG (BL),8,"SARDAR RAN BDR. GURUNG GOVT. SR. SEC. SCHOOL, KALUK ROOM NO. II",sikkim_pdfs/05_008.pdf
05,RINCHENBONG (BL),9,"SARDAR RAN BDR. GURUNG GOVT. SR. SEC. SCHOOL, KALUK ROOM NO. III",sikkim_pdfs/05_009.pdf
05,RINCHENBONG (BL),10,"GOVT. PRY. SCHOOL, LOWER HATHIDUNGA",sikkim_pdfs/05_010.pdf
05,RINCHENBONG (BL),11,"GOVT. PRY. SCHOOL, NAM GAON",sikkim_pdfs/05_011.pdf
05,RINCHENBONG (BL),12,"GOVT. JR. HIGH SCHOOL, JEEL",sikkim_pdfs/05_012.pdf
05,RINCHENBONG (BL),13,GOVT. SEC. SCHOOL KAMLING ROOM NO. I,sikkim_pdfs/05_013.pdf
05,RINCHENBONG (BL),14,GOVT. SEC. SCHOOL KAMLING ROOM NO. II,sikkim_pdfs/05_014.pdf
05,RINCHENBONG (BL),15,"GOVT. JR. HIGH SCHOOL, BIRDANG",sikkim_pdfs/05_015.pdf
05,RINCHENBONG (BL),16,"GOVT. SEC. SCHOOL, KHANISHERBONG",sikkim_pdfs/05_016.pdf
05,RINCHENBONG (BL),17,"GOVT. SEC. SCHOOL, RESHI",sikkim_pdfs/05_017.pdf
06,DARAMDIN (BL),1,BURIAKHOP DODAK PANCHAYAT GHAR ROOM. NO. I,sikkim_pdfs/06_001.pdf
06,DARAMDIN (BL),2,BURIAKHOP DODAK PANCHAYAT GHAR ROOM. NO. II,sikkim_pdfs/06_002.pdf
