district,leg_assembly,polling_station_name,file_name
2 - KOLASIB,4 - Tuirial(ST),4/6 Zanlawn,mizoram_pdfs/AC004PART006.pdf
2 - KOLASIB,4 - Tuirial(ST),4/7 Khamrang,mizoram_pdfs/AC004PART007.pdf
2 - KOLASIB,4 - Tuirial(ST),4/8 Nisapui,mizoram_pdfs/AC004PART008.pdf
2 - KOLASIB,4 - Tuirial(ST),4/9 Lungmuat,mizoram_pdfs/AC004PART009.pdf
2 - KOLASIB,4 - Tuirial(ST),4/10 Mualvum,mizoram_pdfs/AC004PART010.pdf
2 - KOLASIB,4 - Tuirial(ST),4/11 Kawnpui I,mizoram_pdfs/AC004PART011.pdf
2 - KOLASIB,4 - Tuirial(ST),4/12 Kawnpui II,mizoram_pdfs/AC004PART012.pdf
2 - KOLASIB,4 - Tuirial(ST),4/13 Kawnpui III,mizoram_pdfs/AC004PART013.pdf
2 - KOLASIB,4 - Tuirial(ST),4/14 Kawnpui IV,mizoram_pdfs/AC004PART014.pdf
2 - KOLASIB,4 - Tuirial(ST),4/15 Kawnpui V,mizoram_pdfs/AC004PART015.pdf
2 - KOLASIB,4 - Tuirial(ST),4/16 Hortoki I,mizoram_pdfs/AC004PART016.pdf
2 - KOLASIB,4 - Tuirial(ST),4/17 Hortoki II,mizoram_pdfs/AC004PART017.pdf
2 - KOLASIB,4 - Tuirial(ST),4/18 Bualpui,mizoram_pdfs/AC004PART018.pdf
2 - KOLASIB,4 - Tuirial(ST),4/19 Zodin,mizoram_pdfs/AC004PART019.pdf
2 - KOLASIB,4 - Tuirial(ST),4/20 Thingdawl I,mizoram_pdfs/AC004PART020.pdf
2 - KOLASIB,4 - Tuirial(ST),4/21 Thingdawl II,mizoram_pdfs/AC004PART021.pdf
2 - KOLASIB,4 - Tuirial(ST),4/22 Thingdawl III,mizoram_pdfs/AC004PART022.pdf
2 - KOLASIB,4 - Tuirial(ST),4/23 N. Chaltlang,mizoram_pdfs/AC004PART023.pdf
2 - KOLASIB,4 - Tuirial(ST),4/24 Bukpui,mizoram_pdfs/AC004PART024.pdf
2 - KOLASIB,4 - Tuirial(ST),4/Summary,mizoram_pdfs/AC004.pdf
2 - KOLASIB,4 - Tuirial(ST),4/Service Voters,mizoram_pdfs/AC004SERVICEVOTERS.pdf
2 - KOLASIB,5 - Kolasib(ST),5/1 Bairabi - I,mizoram_pdfs/AC005PART001.pdf
2 - KOLASIB,5 - Kolasib(ST),5/2 Bairabi - II,mizoram_pdfs/AC005PART002.pdf
2 - KOLASIB,5 - Kolasib(ST),5/3 Bairabi - III,mizoram_pdfs/AC005PART003.pdf
2 - KOLASIB,5 - Kolasib(ST),5/4  Meidum,mizoram_pdfs/AC005PART004.pdf
2 - KOLASIB,5 - Kolasib(ST),5/5 S.Chhimluang,mizoram_pdfs/AC005PART005.pdf
